Date,AAPL,AMT,AMZN,CAT,GOOG,JNJ,JPM,NEE,PG,XOM
2017-09-20,36.32054138183594,111.07083892822266,48.660499572753906,103.57025909423828,46.171913146972656,104.22149658203125,74.5048828125,29.240631103515625,74.15739440917969,54.26304244995117
2017-09-21,35.69685745239258,110.27973175048828,48.23249816894531,103.52051544189453,46.21503448486328,103.07147979736328,74.84352111816406,29.24859046936035,72.77477264404297,53.818424224853516
2017-09-22,35.34775924682617,108.9981918334961,47.755001068115234,103.22187805175781,46.020748138427734,102.78987121582031,74.68605041503906,29.164905548095703,72.46055603027344,53.83864212036133
2017-09-25,35.035926818847656,108.68964385986328,46.989498138427734,103.130615234375,45.646053314208984,102.61772918701172,74.1268539428711,29.256563186645508,72.8376235961914,54.55272674560547
2017-09-26,35.638671875,107.9222640991211,46.93000030517578,103.28821563720703,45.83885192871094,102.43782043457031,73.79605102539062,29.43191909790039,72.78262329101562,54.49208068847656
2017-09-27,35.892333984375,106.59323120117188,47.54349899291992,103.29653930664062,46.81177520751953,101.5068588256836,74.9616928100586,29.142982482910156,71.38433837890625,54.855865478515625
2017-09-28,35.6712532043457,108.19912719726562,47.81999969482422,103.88552856445312,47.060081481933594,101.28779602050781,75.11918640136719,29.290451049804688,71.40003967285156,55.36784362792969
2017-09-29,35.86672592163086,108.66020202636719,48.067501068115234,103.45413208007812,47.53639221191406,101.71025085449219,75.22158813476562,29.202768325805664,71.4707260131836,55.226383209228516
2017-10-02,35.79458236694336,108.00828552246094,47.95949935913086,103.46243286132812,47.24694061279297,102.65687561035156,76.26905059814453,29.240631103515625,72.09134674072266,54.9905891418457
2017-10-03,35.95051574707031,108.64432525634766,47.85499954223633,104.11780548095703,47.47096252441406,103.34532165527344,76.67073822021484,29.27051544189453,72.36630249023438,55.07817459106445
2017-10-04,35.71778869628906,110.37744903564453,48.272499084472656,105.1381607055664,47.16813278198242,103.96334838867188,75.89102935791016,29.605276107788086,72.60194396972656,55.09838104248047
2017-10-05,36.16228103637695,110.70336151123047,49.04249954223633,104.85611724853516,48.07415008544922,104.19804382324219,76.91292572021484,29.443870544433594,72.29560089111328,55.253318786621094
2017-10-06,36.14134216308594,110.592041015625,49.479000091552734,105.29576110839844,48.51674270629883,104.22149658203125,76.77828216552734,29.386089324951172,72.53126525878906,55.04447937011719
2017-10-09,36.26701354980469,109.66192626953125,49.54949951171875,105.25426483154297,48.423072814941406,104.40147399902344,76.37423706054688,29.471776962280273,72.36630249023438,55.26007843017578
2017-10-10,36.28097915649414,108.98616027832031,49.36000061035156,106.34102630615234,48.204994201660156,104.75348663330078,76.94464111328125,29.696949005126953,71.97350311279297,55.41498565673828
2017-10-11,36.4322395324707,109.65392303466797,49.75,106.68112182617188,49.03021240234375,106.9049072265625,76.71489715576172,29.864328384399414,71.84782409667969,55.64404296875
2017-10-12,36.30424880981445,111.32345581054688,50.04650115966797,107.83421325683594,48.959835052490234,107.04573822021484,76.04155731201172,30.02971839904785,72.38985443115234,55.529537200927734
2017-10-13,36.534629821777344,111.27578735351562,50.14699935913086,108.43150329589844,49.05152893066406,106.73278045654297,75.93855285644531,29.999835968017578,73.08901977539062,55.51605987548828
2017-10-16,37.20719528198242,110.9736328125,50.31700134277344,109.06197357177734,49.16650390625,106.49024200439453,77.50707244873047,30.193117141723633,73.16757202148438,55.7855110168457
2017-10-17,37.34449768066406,110.60797882080078,50.45650100708008,108.29045867919922,49.17543411254883,110.14374542236328,77.3327865600586,30.422285079956055,72.90045166015625,55.88655090332031
2017-10-18,37.17926025390625,109.29620361328125,49.849998474121094,108.91263580322266,49.20665740966797,110.05769348144531,77.62586975097656,30.396381378173828,72.87689208984375,55.7518196105957
